4;1.88872e-05;1
4;4.35665e-05;2
4;4.57928e-05;4
4;4.32953e-05;8
4;7.67291e-05;16
4;9.43512e-05;32
4;0.000173378;64
4;0.00084269;96
5;3.80725e-05;1
5;6.33091e-05;2
5;8.1785e-05;4
5;6.20559e-05;8
5;5.89371e-05;16
5;0.000104885;32
5;0.000160116;64
5;0.0073303;96
6;7.9374e-05;1
6;0.000125192;2
6;0.000138746;4
6;0.000132632;8
6;0.000113438;16
6;0.000131452;32
6;0.000227471;64
6;0.00365302;96
7;0.000158191;1
7;0.000225367;2
7;0.000252704;4
7;0.000232148;8
7;0.000162695;16
7;0.000173803;32
7;0.000241908;64
7;0.00643976;96
8;0.000530212;1
8;0.000653325;2
8;0.000397386;4
8;0.000245477;8
8;0.000208399;16
8;0.000225241;32
8;0.000268438;64
8;0.00869968;96
9;0.0023947;1
9;0.00219427;2
9;0.00130297;4
9;0.000765021;8
9;0.000447983;16
9;0.000424312;32
9;0.00048603;64
9;0.00661538;96
10;0.00984035;1
10;0.0101855;2
10;0.00534351;4
10;0.00312175;8
10;0.00214659;16
10;0.00149824;32
10;0.00130678;64
10;0.00229581;96
11;0.0456964;1
11;0.0384668;2
11;0.0201088;4
11;0.0109843;8
11;0.00598625;16
11;0.0135399;32
11;0.00242268;64
11;0.00357482;96
12;0.245945;1
12;0.171113;2
12;0.0941106;4
12;0.0476196;8
12;0.0248474;16
12;0.0133845;32
12;0.0161066;64
12;0.00749667;96
